id,mileage,vehicle_age,reported_issues,fuel_efficiency,service_history,accident_history,tire_condition,brake_condition,battery_status,days_since_last_service,days_to_warranty_expire
B328AB,53723,4,3,12.082875329534891,10,0,0,2,2,609,336
A219HK,66530,10,5,18.139984988732216,3,3,2,1,0,436,378
B644BE,50950,3,0,19.262909919716307,4,1,0,1,1,462,40
K978YB,34951,1,3,17.021051762500157,1,0,0,2,0,357,384
X500EK,35208,5,1,14.925772571177175,6,2,1,1,0,315,-210
A282YX,47475,3,2,14.481287666212223,2,2,2,1,1,424,-227
E723XA,43893,9,4,19.607995350559527,6,1,1,2,1,320,-69
A263HE,46607,2,3,10.456244429842146,8,2,1,2,0,463,42
A379MT,51739,5,3,18.84452764193689,10,1,0,0,0,400,74
X965EB,62478,7,1,19.020566927310465,10,1,2,2,0,358,103
O265XY,41228,1,3,16.203065333600307,3,3,1,2,2,369,-125
O965BA,30126,5,5,13.95431122671083,1,1,2,0,0,405,-96
K411BE,55847,6,5,10.05277647090981,6,1,1,0,0,448,247
P350EY,34788,9,3,18.10374521449125,10,1,2,0,1,470,25
P118OP,38715,2,3,14.218819767414567,10,3,2,0,1,617,203
Y730TK,73658,1,1,14.078740908499174,7,1,0,0,2,519,25
T525PC,61161,9,2,15.49975054832247,9,2,1,1,1,637,-52
A790BC,42714,4,1,17.56786939362943,5,2,0,1,0,421,414
X889MT,58684,8,4,15.795546076677368,8,2,1,1,1,624,348
Y376OH,34841,10,0,16.014299197006697,9,3,1,0,1,342,141
C450KH,39336,10,4,11.564193748570354,2,3,0,1,2,433,-132
M721AC,61334,3,3,19.39655928110303,5,2,2,2,1,525,-9
O753BE,55079,6,5,13.518537851555196,9,1,1,0,1,604,-169
P637BH,41449,2,1,13.019800028525482,7,0,1,2,1,487,260
X439TM,43131,2,5,15.688563583645896,3,3,1,2,1,336,250
H838CB,74535,5,4,13.454362825427005,3,0,0,1,1,581,118
P399HH,72851,8,2,14.048615975513076,2,1,0,2,1,565,222
B565YX,41504,2,0,14.024426905334066,8,0,2,0,2,336,415
B156TM,44621,9,3,16.153333296162213,7,2,1,2,1,443,139
A179TH,58651,3,5,18.96846028309583,8,2,2,2,2,622,430
H146TO,72521,1,5,17.261770189646292,2,1,2,2,0,404,94
H935BB,42960,6,0,11.041892234562876,7,1,2,0,1,381,-2
K996AO,69758,6,4,10.069430203615395,6,1,1,1,1,645,-68
K687EH,74264,1,5,12.69300221102274,1,1,1,0,1,352,194
C618XE,41338,10,3,16.183931481979034,7,3,2,0,2,500,-246
P218XE,44520,1,2,18.487592234438274,1,2,0,1,2,496,191
A651AH,35863,4,3,19.19234169804452,9,2,1,0,0,543,-146
B167PK,58375,1,5,18.85250459978557,6,2,0,0,0,630,303
C576EM,49557,3,3,19.92315708157328,7,2,1,1,2,397,306
C466AB,45680,9,1,11.559453127958085,8,1,0,2,1,525,415
Y236YE,59278,3,1,18.27648222386984,6,2,0,1,0,329,89
E386BX,55255,4,5,16.59207851471616,8,3,0,1,2,453,370
K977BY,65068,1,3,13.14659067559801,6,3,1,0,2,533,439
P586ET,77861,2,2,19.339450682874197,4,0,0,1,0,319,351
